Unnamed: 0,ShortName,RegionName,FullName,WebSite,PathToSoft,SoftInfo
40,АНОВО «НОИ СПб»,г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «Национальный открытый институт г.Санкт-Петербург»,https://noironline.ru/,https://noironline.ru/institut/эиос/,"Python, PrestaShop 1.7.6, Windows Server 2008 R2, MySQL, Apache 1.3.41, PHP 5.2.17, PHP Framework, HTML5, CSS3, jQuery, Sublime Text 3, IntelliJ IDEA, Oracle Database, Zend Framework, СУБД MySQL(MediaWiki)."
41,Поволжская академия Святителя Алексия,Самарская область,"Автономная некоммерческая организация высшего образования «Поволжская академия образования и искусств имени Святителя Алексия, митрополита Московского»",http://pravinst.ru/,https://new.pravinst.ru/sveden/education/metod/ГИА_ИТ.pdf,"Python, GeoGebra, Microsoft Office, Autodesk, 3ds Max, MATLAB, Adobe Creative Cloud, Microsoft Azure, SPSS, 1C, Excel, Word, Jupyter Notebook, Visual Studio, PostgreSQL, Cisco Webex, OpenCart, Wacom Drawings, AutoCAD, ACDChemSketch, Avogadro, Pandoc, Stencyl, Android NDK, Microsoft Teams, C++, Java, Python, Git, Docker, Google Colab, NetBeans, clang, Unity, TypeScript, Remix, Sublime Text, Xamarin, Linux, Qt, Visual Studio Code, Eclipse, IntelliJ IDEA."
42,"АНО ВО «Российский новый университет», АНО ВО ""РОСНОУ""",г. Москва,Автономная некоммерческая организация высшего образования «Российский новый университет»,http://rosnou.ru/,https://rosnou.ru/direction/matematicheskoe-obespechenie-i-administrirovanie-informacionnyh-sistem/,"Adobe Acrobat, Android Studio, Archi, Atlassian Jira, Bitbucket, CLion, CMake, CppUTest, CSS, Db Designer, Fiddler, Firebird, Github, Google Maps, IntelliJ IDEA, Java, JavaScript, JetBrains, JUnit, Keil µVision, Linux, MatLab, Microsoft Azure, Microsoft Office, Microsoft Teams, Microsoft Visual Studio, mongoDB, NetBeans, Node.js, OpenCV, Perl, Phabricator, phpMyAdmin, PostgreSQL, Power BI, PyCharm, Python, QEMU, Ruby, Rust, SAP, Sublime Text, Systems Modeling Language, Visual Studio Code, WebStorm, Wireshark, Xamarin, X UNIT, XML."
43,АНО ВО «РПУ св. Иоанна Богослова»,г. Москва,Автономная некоммерческая организация высшего образования «Российский православный университет святого Иоанна Богослова»,http://rpusib.ru/,http://rpusib.ru/sveden/files/Polozhenie_ob_organizacii_i_primenenii_elektronnogo_obucheniya_i_distancionnyh_obrazovatelnyh_tekhnologij_pri_realizacii_OP.pdf(1)(8).sig,
44,"АНО ВО «РХГА», РХГА , Академия Достоевского",г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «Русская христианская гуманитарная академия им Ф.М. Достоевского»,https://rhga.ru/,,
45,АНО ВО «СЮА»,г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «Санкт-Петербургская юридическая академия»,https://jurac.ru,http://it.jurac.ru/files/objects/1_mag_GP_MAT-TEH.pdf,
46,СКСИ,Ставропольский край,Автономная некоммерческая организация высшего образования «Северо-Кавказский социальный институт»,https://sksi.ru/,https://docs.sksi.ru/education/09.02.07/Программист/очная/на базе среднего общего образования/Программы практик/2021/09.02.07 - УП ПМ 03 2023_3г10м ПРОГРАММИСТ_подписано.pdf,"parallels desktop, ms office, oracle db, sap erp, matlab, adobe creative cloud, git, zoom, IBM spss, microsoft visual studio, pycharm"
47,АНО ВО СИБУП,Красноярский край,"Автономная некоммерческая организация высшего образования «Сибирский институт бизнеса, управления и психологии»",http://www.sibup.ru/,,
48,"АНОВО Славяно-Греко-Латинская Академия, Славяно-Греко-Латинская Академия, АНОВО СГЛА, СГЛА",г. Москва,Автономная некоммерческая организация высшего образования «Славяно-Греко-Латинская Академия»,https://sgla.ru/,https://sgla.ru/sveden/files/programma_pedagogicheskoy_praktiki.doc,
49,Современный технический университет,Рязанская область,Автономная некоммерческая организация высшего образования «Современный технический университет»,http://www.stirzn.ru/,http://www.stirzn.ru/,"Java, Python, Oracle SQL Plus, PL/SQL, Microsoft Azure, JavaScript, R, HTML, CSS, C, C++, PHP, SQL, Django."
50,АНО ВО «Университет Иннополис»,Республика Татарстан (Татарстан),Автономная некоммерческая организация высшего образования «Университет Иннополис»,https://innopolis.university/,https://eduwiki.innopolis.university/index.php/BSc:_AlgorithmsAndAlgorithmicLanguages,"Git, GitHub, Docker, IntelliJ IDEA, Eclipse, Jupyter Notebook, Visual Studio Code, Overleaf, Online GDB, Google Colab, Spyder, VirtualBox, MATLAB, MongoDB, PostgreSQL, Redis, Rust, Apache Kafka, Apache Spark, Apache Flink, C++, Java, Python, Kotlin, R, Scala, mlpack, TensorFlow, PyTorch, OpenCV, GDAL, QGIS, R Studio, GitLab CI/CD, Microsoft Teams, Zoom, AWS, IBM Cloud, Microsoft Visual Studio, Linux."
51,"АНО ВО ""Университет мировых цивилизаций им. В.В. Жириновского"", АНО ВО ""УМЦ им. В.В. Жириновского"", АНО ВО ""УМЦ"", УМЦ",г. Москва,Автономная некоммерческая организация высшего образования «Университет мировых цивилизаций имени В.В. Жириновского»,http://imc-i.ru/,http://imc-i.ru/userfiles/ufiles/OOP_540401o_21.pdf,"matplotlib, astrophyslibs, IDL, Git, Python, PyCharm, Visual Studio Code."
52,АНО ВО «Университет при МПА ЕврАзЭС»,г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «Университет при Межпарламентской Ассамблее ЕврАзЭС»,https://www.miep.edu.ru/,https://www.miep.edu.ru/directions/software_engineering/,"Delphi, Qt, WPF, SVN, Git, AdvPL, Java, Python, Visual Studio."
53,АНО ВО УрУ-УИЭУиП,Свердловская область,"Автономная некоммерческая организация высшего образования «Уральский университет-Уральский институт экономики, управления и права»",https://www.urep.ru/,http://www.urep.ru/index.php?option=com_content&view=article&id=1918:090415&catid=124:realorbpr&lang=ru&Itemid=91,"1C:Enterprise, Adobe Creative Cloud, AVS4YOU, Autodesk Revit, ABBYY FlexiCapture, CorelDRAW Graphics Suite, ESET Endpoint Security, IBM SPSS Statistics, Kaspersky Endpoint Security, Mathematica, Microsoft Office."
54,"АНО ВО ""ВХУТЕИН""",г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «ХУДОЖЕСТВЕННО-ТЕХНИЧЕСКИЙ ИНСТИТУТ»,https://www.vhutein.ru/,https://www.vhutein.ru/about_the_university/departments/it/,"Adobe illustrator, Blender, 3ds Max,Unity,AutoCAD, Revit, SketchUp, Autodesk Maya, CorelDRAW, InDesign, Photoshop."
55,АНО ВО Институт современного образования и информационных технологий,г. Москва,Автономная некоммерческая организация высшего образования Институт современного образования и информационных технологий,https://imeit.ru/,https://imeit.ru/programmy-obucheniya/,"AutoCAD, Adobe Creative Cloud, ArchiCAD, Autodesk Revit, Autodesk Inventor, ANSYS, Comsol, Matlab, Mathematica, Microsoft Office, MS Visio, NX, Origin, PC-DMIS, SolidWorks, SPSS, SQL Server-management Studio, Stadium, Unigraphics NX, T-FLEX CAD."
