ShortName,RegionName,FullName,WebSite
АНО ВО «АКАДЕМИЯ СОЦИАЛЬНОГО ОБРАЗОВАНИЯ»,Республика Татарстан (Татарстан),Автономная некоммерческая организация высшего образования «АКАДЕМИЯ СОЦИАЛЬНОГО ОБРАЗОВАНИЯ»,
"АНО ВО «Белгородский университет кооперации, экономики и права»; Белгородский университет кооперации, экономики и права; БУКЭП",Белгородская область,"Автономная некоммерческая организация высшего образования «Белгородский университет кооперации, экономики и права»",www.bukep.ru
АНО «Высшая школа сценических искусств»,г. Москва,Автономная некоммерческая организация высшего образования «Высшая школа сценических искусств»,
АНО ВО «Гуманитарный университет»,Свердловская область,Автономная некоммерческая организация высшего образования «Гуманитарный университет»,https://gu-ural.ru
АНО ВО «Институт бизнеса и дизайна»,г. Москва,Автономная некоммерческая организация высшего образования «Институт бизнеса и дизайна»,
АНО ВО «ИГУМО и ИТ»,г. Москва,Автономная некоммерческая организация высшего образования «Институт гуманитарного образования и информационных технологий»,
АНО ВО ГИТР,г. Москва,Автономная некоммерческая организация высшего образования «Институт кино и телевидения (ГИТР)»,www.gitr.ru
АНО ВО «ИНО»,г. Москва,Автономная некоммерческая организация высшего образования «Институт непрерывного образования»,NULL
АНО ВО «Институт современного искусства»,г. Москва,Автономная некоммерческая организация высшего образования «Институт современного искусства»,
АНО ВО «Институт стран Востока»,г. Москва,Автономная некоммерческая организация высшего образования «Институт стран Востока»,www.orun.ru
АНО ВО «КИФЭИ»,Республика Татарстан (Татарстан),"Автономная некоммерческая организация высшего образования «Казанский институт финансов, экономики и информатики»",
"АНОВО «МОСКОВСКИЙ МЕЖДУНАРОДНЫЙ УНИВЕРСИТЕТ», МОСКОВСКИЙ МЕЖДУНАРОДНЫЙ УНИВЕРСИТЕТ, МЕЖДУНАРОДНЫЙ УНИВЕРСИТЕТ В МОСКВЕ, ММУ, МУМ",г. Москва,Автономная некоммерческая организация высшего образования «МОСКОВСКИЙ МЕЖДУНАРОДНЫЙ УНИВЕРСИТЕТ»,https://mi.university/
АНО ВО «МАБиУ»,г. Москва,Автономная некоммерческая организация высшего образования «Международная академия бизнеса и управления»,
АНО ВО «МБИ имени Анатолия Собчака»,г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «Международный банковский институт имени Анатолия Собчака»,
АНО ВО «МИУП»,Тверская область,Автономная некоммерческая организация высшего образования «Международный институт управления и права»,
"АНО ВО МОСИ, АНО ВО «Межрегиональный открытый социальный институт»",Республика Марий Эл,Автономная некоммерческая организация высшего образования «Межрегиональный открытый социальный институт»,
Институт МИРБИС,г. Москва,Автономная некоммерческая организация высшего образования «Московская международная высшая школа бизнеса «МИРБИС» (Институт),http://mirbis.ru
АНО ВО «Московский гуманитарный университет» или «Московский гуманитарный университет» или АНО ВО «МосГУ» или «МосГУ»,г. Москва,Автономная некоммерческая организация высшего образования «Московский гуманитарный университет»,
АНО ВО «МИСАО»,г. Москва,Автономная некоммерческая организация высшего образования «Московский институт современного академического образования»,misaoinst.ru
МИТУ - МАСИ; Московский информационно-технологический университет - Московский архитектурно-строительный институт; МИТУ; МАСИ,г. Москва,Автономная некоммерческая организация высшего образования «Московский информационно-технологический университет - Московский архитектурно-строительный институт»,https://masi.ru/
Московский региональный социально-экономический институт (МРСЭИ),Московская область,Автономная некоммерческая организация высшего образования «Московский региональный социально-экономический институт»,
АНО ВО «Научно-клинический центр имени Башларова»,Республика Дагестан,Автономная некоммерческая организация высшего образования «Научно-клинический центр имени Башларова»,
АНО ВО «Национальный институт бизнеса»,г. Москва,Автономная некоммерческая организация высшего образования «Национальный институт бизнеса»,
АНОВО «НОИ СПб»,г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «Национальный открытый институт г.Санкт-Петербург»,
Поволжская академия Святителя Алексия,Самарская область,"Автономная некоммерческая организация высшего образования «Поволжская академия образования и искусств имени Святителя Алексия, митрополита Московского»",http://pravinst.ru/
"АНО ВО «Российский новый университет», АНО ВО ""РОСНОУ""",г. Москва,Автономная некоммерческая организация высшего образования «Российский новый университет»,http://rosnou.ru/
АНО ВО «РПУ св. Иоанна Богослова»,г. Москва,Автономная некоммерческая организация высшего образования «Российский православный университет святого Иоанна Богослова»,www.мпи.рф
"АНО ВО «РХГА», РХГА , Академия Достоевского",г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «Русская христианская гуманитарная академия им Ф.М. Достоевского»,
АНО ВО «СЮА»,г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «Санкт-Петербургская юридическая академия»,https://jurac.ru
СКСИ,Ставропольский край,Автономная некоммерческая организация высшего образования «Северо-Кавказский социальный институт»,sksi.ru
АНО ВО СИБУП,Красноярский край,"Автономная некоммерческая организация высшего образования «Сибирский институт бизнеса, управления и психологии»",http://www.sibup.ru/
"АНОВО Славяно-Греко-Латинская Академия, Славяно-Греко-Латинская Академия, АНОВО СГЛА, СГЛА",г. Москва,Автономная некоммерческая организация высшего образования «Славяно-Греко-Латинская Академия»,sgla.ru
Современный технический университет,Рязанская область,Автономная некоммерческая организация высшего образования «Современный технический университет»,NULL
АНО ВО «Университет Иннополис»,Республика Татарстан (Татарстан),Автономная некоммерческая организация высшего образования «Университет Иннополис»,https://innopolis.university/
"АНО ВО ""Университет мировых цивилизаций им. В.В. Жириновского"", АНО ВО ""УМЦ им. В.В. Жириновского"", АНО ВО ""УМЦ"", УМЦ",г. Москва,Автономная некоммерческая организация высшего образования «Университет мировых цивилизаций имени В.В. Жириновского»,imc-i.ru
АНО ВО «Университет при МПА ЕврАзЭС»,г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «Университет при Межпарламентской Ассамблее ЕврАзЭС»,
АНО ВО УрУ-УИЭУиП,Свердловская область,"Автономная некоммерческая организация высшего образования «Уральский университет-Уральский институт экономики, управления и права»",
"АНО ВО ""ВХУТЕИН""",г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «ХУДОЖЕСТВЕННО-ТЕХНИЧЕСКИЙ ИНСТИТУТ»,
АНО ВО Институт современного образования и информационных технологий,г. Москва,Автономная некоммерческая организация высшего образования Институт современного образования и информационных технологий,
АНО ВО МГЭУ,г. Москва,Автономная некоммерческая организация высшего образования Московский гуманитарно-экономический университет,http://mgei.ru
"АНО ВО Университет ""МИР""",Самарская область,"Автономная некоммерческая организация высшего образования Самарский университет государственного управления ""Международный институт рынка""",
АОУ ВО ЛО «ГИЭФПТ»,Ленинградская область,"Автономное образовательное учреждение высшего образования Ленинградской области «Государственный институт экономики, финансов, права и технологий»",http://gief.ru/
"МФЮА, Московский финансово-юридический университет МФЮА",г. Москва,Аккредитованное образовательное частное учреждение высшего образования «Московский финансово-юридический университет МФЮА»,www.mfua.ru
АЧОУ ВО «ИУБиП» (г. Пятигорск),Ставропольский край,"Аккредитованное частное образовательное учреждение высшего образования «Институт Управления, Бизнеса и Права» (г. Пятигорск)",
БОУ ВО «ЧГИКИ» Минкультуры Чувашии,Чувашская Республика - Чувашия,"Бюджетное образовательное учреждение высшего образования Чувашской Республики  «Чувашский государственный институт культуры и искусств» Министерства культуры, по делам национальностей и архивного дела Чувашской Республики",NULL
ВИВТ - АНОО ВО,Воронежская область,Воронежский институт высоких технологий - автономная некоммерческая образовательная организация высшего образования,vivt.ru
ГОО ВПО ДОННМУ ИМ. М. ГОРЬКОГО,"образовательные учреждения, находящиеся за пределами Российской Федерации","ГОСУДАРСТВЕННАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ДОНЕЦКИЙ НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ ИМЕНИ М. ГОРЬКОГО""",
"ГОВПО ""ДОНЕЦКИЙ НАЦИОНАЛЬНЫЙ УНИВЕРСИТЕТ ЭКОНОМИКИ И ТОРГОВЛИ ИМЕНИ МИХАИЛА ТУГАН-БАРАНОВСКОГО""","образовательные учреждения, находящиеся за пределами Российской Федерации","ГОСУДАРСТВЕННАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ДОНЕЦКИЙ НАЦИОНАЛЬНЫЙ УНИВЕРСИТЕТ ЭКОНОМИКИ И ТОРГОВЛИ ИМЕНИ МИХАИЛА ТУГАН-БАРАНОВСКОГО""",https://donnuet.education
ВОЛГОГРАДСКАЯ ГОСУДАРСТВЕННАЯ КОНСЕРВАТОРИЯ ИМ. П.А. СЕРЕБРЯКОВА,Волгоградская область,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «ВОЛГОГРАДСКАЯ ГОСУДАРСТВЕННАЯ КОНСЕРВАТОРИЯ ИМЕНИ П.А. СЕРЕБРЯКОВА»,http://new.serebryakovka.ru/
"ГОУ ВПО ЛНР ""ЛГУ им. В. ДАЛЯ""","образовательные учреждения, находящиеся за пределами Российской Федерации","ГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ЛУГАНСКОЙ НАРОДНОЙ РЕСПУБЛИКИ ""ЛУГАНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ ВЛАДИМИРА ДАЛЯ""",dahluniver.ru
ГОУ ВО ЛНР «ЛГПУ»,"образовательные учреждения, находящиеся за пределами Российской Федерации",ГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ЛУГАНСКОЙ НАРОДНОЙ РЕСПУБЛИКИ «ЛУГАНСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ»,ltsu.org
ГОУВПО ДОННТУ,"образовательные учреждения, находящиеся за пределами Российской Федерации",ГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ «ДОНЕЦКИЙ НАЦИОНАЛЬНЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ»,http://donntu.org
ГОУ ВПО ДОННУ,"образовательные учреждения, находящиеся за пределами Российской Федерации",ГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ «ДОНЕЦКИЙ НАЦИОНАЛЬНЫЙ УНИВЕРСИТЕТ»,donnu.ru
"ГУ ЛНР ""ЛАВД ИМ. Э.А. ДИДОРЕНКО""",Луганская Народная Республика,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ЛУГАНСКОЙ НАРОДНОЙ РЕСПУБЛИКИ ""ЛУГАНСКАЯ АКАДЕМИЯ ВНУТРЕННИХ ДЕЛ ИМЕНИ Э.А.ДИДОРЕНКО""",
ГУ ЛНР «ЛГМУ ИМ. СВЯТИТЕЛЯ ЛУКИ»,"образовательные учреждения, находящиеся за пределами Российской Федерации",ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ЛУГАНСКОЙ НАРОДНОЙ РЕСПУБЛИКИ «ЛУГАНСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ ИМЕНИ СВЯТИТЕЛЯ ЛУКИ»,www.lgmu.ru
"МГУУ Правительства Москвы, Университет Правительства Москвы",г. Москва,Государственное автономное образовательное учреждение высшего образования «Московский городской университет управления Правительства Москвы имени Ю.М. Лужкова»,
ГАОУ ВО ЛО «ЛГУ им. А.С. Пушкина»,г. Санкт-Петербург,Государственное автономное образовательное учреждение высшего образования Ленинградской области «Ленинградский государственный университет имени А.С. Пушкина»,http://lengu.ru/
ГАОУ ВО МГПУ,г. Москва,Государственное автономное образовательное учреждение высшего образования города Москвы «Московский городской педагогический университет»,https://www.mgpu.ru/
ГАОУ ВО МГУСиТ,г. Москва,Государственное автономное образовательное учреждение высшего образования города Москвы «Московский государственный университет спорта и туризма»,www.mgiit.ru
"ГБОУ ВО «БАГСУ», ГБОУ ВО «Башкирская академия государственной службы и управления при Главе Республики Башкортостан»",Республика Башкортостан,Государственное бюджетное образовательное учреждение высшего образования «Башкирская академия государственной службы и управления при Главе Республики Башкортостан»,www.bagsurb.ru
Белгородский государственный институт искусств и культуры (БГИИК),Белгородская область,Государственное бюджетное образовательное учреждение высшего образования «Белгородский государственный институт искусств и культуры»,
ГБОУ ВО ВШМ РС (Я) (институт) им. В.А. Босикова,Республика Саха (Якутия),Государственное бюджетное образовательное учреждение высшего образования «Высшая школа музыки Республики Саха (Якутия)  (институт) имени В.А. Босикова»,
"ГБОУ ВО НГИЭУ,  Княгининский университет",Нижегородская область,Государственное бюджетное образовательное учреждение высшего образования «Нижегородский государственный инженерно-экономический университет»,
ГБОУВО РК КИПУ имени Февзи Якубова,,Государственное бюджетное образовательное учреждение высшего образования Республики Крым «Крымский инженерно - педагогический университет имени Февзи Якубова»,http://kipu-rc.ru
"Крымский университет культуры, искусств и туризма",,"Государственное бюджетное образовательное учреждение высшего образования Республики Крым «Крымский университет культуры, искусств и туризма»",
Московский государственный институт музыки имени А.Г. Шнитке,г. Москва,Государственное бюджетное образовательное учреждение высшего образования города Москвы «Московский государственный институт музыки имени А.Г. Шнитке»,
ГБПОУ г. Москвы «Московская театральная школа Олега Табакова»,г. Москва,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московская театральная школа Олега Табакова при Государственном бюджетном учреждении культуры города Москвы «Московский театр Олега Табакова»,
Академия госслужбы,Курская область,Государственное образовательное автономное учреждение высшего образования Курской области «Курская академия государственной и муниципальной службы»,
,"образовательные учреждения, находящиеся за пределами Российской Федерации",Государственное образовательное учреждение «Приднестровский государственный университет им. Т.Г. Шевченко»,
КРСУ,"образовательные учреждения, находящиеся за пределами Российской Федерации",Государственное образовательное учреждение высшего профессионального образования Кыргызско-Российский Славянский университет имени первого Президента Российской Федерации Б.Н. Ельцина,www.krsu.edu.kg
"Российско-Армянский (Славянский) университет, РАУ","образовательные учреждения, находящиеся за пределами Российской Федерации",Государственное образовательное учреждение высшего профессионального образования Российско-Армянский (Славянский) университет,www.rau.am
МБОУ ВО ЕАСИ,Свердловская область,Муниципальное бюджетное образовательное учреждение высшего образования «Екатеринбургская академия современного искусства» (институт),
,Республика Татарстан (Татарстан),Мусульманская религиозная организация духовная образовательная организация высшего образования  «Болгарская исламская академия»,
НАН ЧОУ ВО Академия ИМСИТ,Краснодарский край,Негосударственное аккредитованное некоммерческое частное образовательное учреждение высшего образования «Академия маркетинга и социально-информационных технологий - ИМСИТ» (г. Краснодар),www.imsit.ru
НОУ ВО «Институт театрального искусства им. П.М. Ершова»,г. Москва,Негосударственное образовательное учреждение высшего образования «Институт театрального искусства им. П.М. Ершова»,www.artershov.ru
"НОУ ВО «Институт экономики и правоведения (г. Назрань)», ИЭиП",Республика Ингушетия,Негосударственное образовательное учреждение высшего образования «Институт экономики и правоведения (г. Назрань)»,http://institut-nazran.ru
НОУ ВО «Московский институт юриспруденции»,г. Москва,Негосударственное образовательное учреждение высшего образования «Московский институт юриспруденции»,
НОУ ВО «МСПИ»,г. Москва,Негосударственное образовательное учреждение высшего образования «Московский социально-педагогический институт»,mspi.edu.ru
"НОУ ВО РЭШ, Российская экономическая школа, РЭШ",г. Москва,Негосударственное образовательное учреждение высшего образования «Российская экономическая школа» (институт),www.nes.ru
Санкт-Петербургский Гуманитарный университет профсоюзов; СПбГУП,г. Санкт-Петербург,Негосударственное образовательное учреждение высшего профессионального образования «Санкт-Петербургский Гуманитарный университет профсоюзов»,NULL
НОЧУ ВО «МУППИ»,г. Москва,"Негосударственное образовательное частное учреждение высшего образования ""Международный университет психолого-педагогических инноваций""",www.muppi.ru
"НОЧУ ВО ""МИИУЭП""",г. Москва,"Негосударственное образовательное частное учреждение высшего образования «Международный институт информатики, управления, экономики и права в г. Москве»",
НОЧУ ВО «Московский институт психоанализа»,г. Москва,Негосударственное образовательное частное учреждение высшего образования «Московский институт психоанализа»,
Университет «Синергия»,г. Москва,Негосударственное образовательное частное учреждение высшего образования «Московский финансово-промышленный университет «Синергия»,synergy.ru
НОЧУ ВО «МЭИ»,г. Москва,Негосударственное образовательное частное учреждение высшего образования «Московский экономический институт»,NULL
НЧНОУ ВО «АГСИ»,Краснодарский край,Негосударственное частное некоммерческое образовательное учреждение высшего образования «Армавирский гуманитарно-социальный институт»,
НЧОУ ВО АЛСИ,Краснодарский край,Негосударственное частное образовательное учреждение высшего образования «Армавирский лингвистический социальный институт»,
НЧОУ ВО «Северный институт предпринимательства»,Архангельская область,Негосударственное частное образовательное учреждение высшего образования «Северный институт предпринимательства»,
НЧОУ ВО «ТУ УГМК»,Свердловская область,Негосударственное частное образовательное учреждение высшего образования «Технический университет УГМК»,
Миссионерский институт,Свердловская область,Негосударственное частное учреждение - образовательная организация высшего образования «Миссионерский институт»,www.uralsky-missioner.ru
ОАНО ВО «ВУиТ»,Самарская область,Образовательная автономная некоммерческая организация высшего образования «Волжский университет имени В.Н. Татищева» (институт),
"ОАНО ВО «ДГИ», ОАНО ВО «Дагестанский гуманитарный институт»",Республика Дагестан,Образовательная автономная некоммерческая организация высшего образования «Дагестанский гуманитарный институт»,
ОАНО «МВШСЭН»,г. Москва,Образовательная автономная некоммерческая организация высшего образования «Московская высшая школа социальных и экономических наук»,www.msses.ru
ОАНО ВО «МПСУ»,г. Москва,Образовательная автономная некоммерческая организация высшего образования «Московский психолого-социальный университет»,http://www.mpsu.ru
ОАНО ВО «МосТех»,г. Москва,Образовательная автономная некоммерческая организация высшего образования «Московский технологический институт»,NULL
Академия МУБиНТ,Ярославская область,Образовательная организация высшего образования  (частное учреждение) «Международная академия бизнеса и новых технологий (МУБиНТ)»,
ОУ ВО «ЮУТУ»,Челябинская область,Образовательное учреждение высшего образования «Южно-Уральский технологический университет»,www.inueco.ru
"Академия труда и социальных отношений, ОУП ВО «АТиСО»",г. Москва,Образовательное учреждение профсоюзов высшего образования «Академия труда и социальных отношений»,http://atiso.ru/
«Гуманитарно-социальный институт»,Московская область,Образовательное частное учреждение высшего образования «Гуманитарно-социальный институт»,http://vuz-gsi.ru
ОЧУ ВО «Еврейский Университет»,г. Москва,Образовательное частное учреждение высшего образования «Еврейский Университет»,
ОЧУВО «Международный инновационный университет»,Краснодарский край,Образовательное частное учреждение высшего образования «Международный инновационный университет»,www.miu-sochi.ru
"""Международный юридический институт""",г. Москва,Образовательное частное учреждение высшего образования «Международный юридический институт»,http://www.lawacademy.ru/
ОЧУ ВО «ММА»,г. Москва,Образовательное частное учреждение высшего образования «Московская международная академия»,www.mmamos.ru
ОЧУВО «Московский инновационный университет»,г. Москва,Образовательное частное учреждение высшего образования «Московский инновационный университет»,http://www.miu-edu.ru/
ОЧУ ПСТГУ,г. Москва,Образовательное частное учреждение высшего образования «Православный Свято-Тихоновский гуманитарный университет»,
РМАТ,Московская область,Образовательное частное учреждение высшего образования «Российская международная академия туризма»,http://www.rmat.ru/
,Тульская область,Религиозная духовная образовательная  организация высшего образования  «Заокский университет Церкви Христиан-Адвентистов Седьмого Дня»,
,Алтайский край,"Религиозная организация - духовная образовательная организация высшего образования ""Барнаульская духовная семинария Барнаульской Епархии Русской Православной Церкви""",
,Воронежская область,"Религиозная организация - духовная образовательная организация высшего образования ""Воронежская духовная семинария Воронежской Епархии Русской Православной Церкви""",
Казанская духовная семинария,Республика Татарстан (Татарстан),"Религиозная организация - духовная образовательная организация высшего образования ""Казанская православная духовная семинария Казанской епархии Русской Православной Церкви""",
,Калужская область,"Религиозная организация - духовная образовательная организация высшего образования ""Калужская духовная семинария Калужской Епархии Русской Православной Церкви""",
Нижегородская духовная семинария,Нижегородская область,"Религиозная организация - духовная образовательная организация высшего образования ""Нижегородская духовная семинария Нижегородской Епархии Русской Православной Церкви (Московский Патриархат)""",
Псково-Печерская духовная семинария,Псковская область,"Религиозная организация - духовная образовательная организация высшего образования ""Псково-Печерская духовная семинария Псковской Епархии Русской Православной Церкви""",
,Саратовская область,"Религиозная организация - духовная образовательная организация высшего образования ""Саратовская православная духовная семинария Саратовской Епархии Русской Православной Церкви""",
