,ShortName,RegionName,FullName,WebSite
15,Университет БРИКС,г. Москва,"Автономная некоммерческая организация высшего образования ""Университет БРИКС (ЮниБРИКС)""",https://юнибрикс.рф/
16,"АНО ВО ""УИФР""",Свердловская область,"Автономная некоммерческая организация высшего образования ""Уральский институт фондового рынка""",https://uifr.ru/
17,АНО ВО «АКАДЕМИЯ СОЦИАЛЬНОГО ОБРАЗОВАНИЯ»,Республика Татарстан (Татарстан),Автономная некоммерческая организация высшего образования «АКАДЕМИЯ СОЦИАЛЬНОГО ОБРАЗОВАНИЯ»,https://aso-ksui.ru/
18,"АНО ВО «Белгородский университет кооперации, экономики и права»; Белгородский университет кооперации, экономики и права; БУКЭП",Белгородская область,"Автономная некоммерческая организация высшего образования «Белгородский университет кооперации, экономики и права»",https://www.bukep.ru/
19,АНО «Высшая школа сценических искусств»,г. Москва,Автономная некоммерческая организация высшего образования «Высшая школа сценических искусств»,https://www.raikin-school.com/
20,АНО ВО «Гуманитарный университет»,Свердловская область,Автономная некоммерческая организация высшего образования «Гуманитарный университет»,https://gu-ural.ru/
21,АНО ВО «Институт бизнеса и дизайна»,г. Москва,Автономная некоммерческая организация высшего образования «Институт бизнеса и дизайна»,https://obe.ru/
22,АНО ВО «ИГУМО и ИТ»,г. Москва,Автономная некоммерческая организация высшего образования «Институт гуманитарного образования и информационных технологий»,https://igumo.ru/
23,АНО ВО ГИТР,г. Москва,Автономная некоммерческая организация высшего образования «Институт кино и телевидения (ГИТР)»,https://gitr.ru/
24,АНО ВО «ИНО»,г. Москва,Автономная некоммерческая организация высшего образования «Институт непрерывного образования»,http://www.7480040.ru/
25,АНО ВО «Институт современного искусства»,г. Москва,Автономная некоммерческая организация высшего образования «Институт современного искусства»,https://www.isi-vuz.ru/
26,АНО ВО «Институт стран Востока»,г. Москва,Автономная некоммерческая организация высшего образования «Институт стран Востока»,http://www.orun.ru/
27,АНО ВО «КИФЭИ»,Республика Татарстан (Татарстан),"Автономная некоммерческая организация высшего образования «Казанский институт финансов, экономики и информатики»",https://www.kifei.ru/
28,"АНОВО «МОСКОВСКИЙ МЕЖДУНАРОДНЫЙ УНИВЕРСИТЕТ», МОСКОВСКИЙ МЕЖДУНАРОДНЫЙ УНИВЕРСИТЕТ, МЕЖДУНАРОДНЫЙ УНИВЕРСИТЕТ В МОСКВЕ, ММУ, МУМ",г. Москва,Автономная некоммерческая организация высшего образования «МОСКОВСКИЙ МЕЖДУНАРОДНЫЙ УНИВЕРСИТЕТ»,https://mi.university/
29,АНО ВО «МАБиУ»,г. Москва,Автономная некоммерческая организация высшего образования «Международная академия бизнеса и управления»,https://mabiu.ru/
30,АНО ВО «МБИ имени Анатолия Собчака»,г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «Международный банковский институт имени Анатолия Собчака»,https://www.ibispb.ru/
31,АНО ВО «МИУП»,Тверская область,Автономная некоммерческая организация высшего образования «Международный институт управления и права»,http://миуп.рф/
32,"АНО ВО МОСИ, АНО ВО «Межрегиональный открытый социальный институт»",Республика Марий Эл,Автономная некоммерческая организация высшего образования «Межрегиональный открытый социальный институт»,https://mosi.ru/
33,Институт МИРБИС,г. Москва,Автономная некоммерческая организация высшего образования «Московская международная высшая школа бизнеса «МИРБИС» (Институт),http://mirbis.ru
34,АНО ВО «Московский гуманитарный университет» или «Московский гуманитарный университет» или АНО ВО «МосГУ» или «МосГУ»,г. Москва,Автономная некоммерческая организация высшего образования «Московский гуманитарный университет»,https://mosgu.ru/
35,АНО ВО «МИСАО»,г. Москва,Автономная некоммерческая организация высшего образования «Московский институт современного академического образования»,https://misaoinst.ru/
36,МИТУ - МАСИ; Московский информационно-технологический университет - Московский архитектурно-строительный институт; МИТУ; МАСИ,г. Москва,Автономная некоммерческая организация высшего образования «Московский информационно-технологический университет - Московский архитектурно-строительный институт»,https://masi.ru/
37,Московский региональный социально-экономический институт (МРСЭИ),Московская область,Автономная некоммерческая организация высшего образования «Московский региональный социально-экономический институт»,http://www.mrsei.ru/
38,АНО ВО «Научно-клинический центр имени Башларова»,Республика Дагестан,Автономная некоммерческая организация высшего образования «Научно-клинический центр имени Башларова»,https://bashlarov-vuz.ru/
39,АНО ВО «Национальный институт бизнеса»,г. Москва,Автономная некоммерческая организация высшего образования «Национальный институт бизнеса»,https://nibmoscow.ru/
40,АНОВО «НОИ СПб»,г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «Национальный открытый институт г.Санкт-Петербург»,https://noironline.ru/
41,Поволжская академия Святителя Алексия,Самарская область,"Автономная некоммерческая организация высшего образования «Поволжская академия образования и искусств имени Святителя Алексия, митрополита Московского»",http://pravinst.ru/
42,"АНО ВО «Российский новый университет», АНО ВО ""РОСНОУ""",г. Москва,Автономная некоммерческая организация высшего образования «Российский новый университет»,http://rosnou.ru/
43,АНО ВО «РПУ св. Иоанна Богослова»,г. Москва,Автономная некоммерческая организация высшего образования «Российский православный университет святого Иоанна Богослова»,http://rpusib.ru/
44,"АНО ВО «РХГА», РХГА , Академия Достоевского",г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «Русская христианская гуманитарная академия им Ф.М. Достоевского»,https://rhga.ru/
45,АНО ВО «СЮА»,г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «Санкт-Петербургская юридическая академия»,https://jurac.ru
46,СКСИ,Ставропольский край,Автономная некоммерческая организация высшего образования «Северо-Кавказский социальный институт»,https://sksi.ru/
47,АНО ВО СИБУП,Красноярский край,"Автономная некоммерческая организация высшего образования «Сибирский институт бизнеса, управления и психологии»",http://www.sibup.ru/
48,"АНОВО Славяно-Греко-Латинская Академия, Славяно-Греко-Латинская Академия, АНОВО СГЛА, СГЛА",г. Москва,Автономная некоммерческая организация высшего образования «Славяно-Греко-Латинская Академия»,https://sgla.ru/
49,Современный технический университет,Рязанская область,Автономная некоммерческая организация высшего образования «Современный технический университет»,http://www.stirzn.ru/
50,АНО ВО «Университет Иннополис»,Республика Татарстан (Татарстан),Автономная некоммерческая организация высшего образования «Университет Иннополис»,https://innopolis.university/
51,"АНО ВО ""Университет мировых цивилизаций им. В.В. Жириновского"", АНО ВО ""УМЦ им. В.В. Жириновского"", АНО ВО ""УМЦ"", УМЦ",г. Москва,Автономная некоммерческая организация высшего образования «Университет мировых цивилизаций имени В.В. Жириновского»,http://imc-i.ru/
52,АНО ВО «Университет при МПА ЕврАзЭС»,г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «Университет при Межпарламентской Ассамблее ЕврАзЭС»,https://www.miep.edu.ru/
53,АНО ВО УрУ-УИЭУиП,Свердловская область,"Автономная некоммерческая организация высшего образования «Уральский университет-Уральский институт экономики, управления и права»",https://www.urep.ru/
54,"АНО ВО ""ВХУТЕИН""",г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «ХУДОЖЕСТВЕННО-ТЕХНИЧЕСКИЙ ИНСТИТУТ»,https://www.vhutein.ru/
55,АНО ВО Институт современного образования и информационных технологий,г. Москва,Автономная некоммерческая организация высшего образования Институт современного образования и информационных технологий,https://imeit.ru/
56,АНО ВО МГЭУ,г. Москва,Автономная некоммерческая организация высшего образования Московский гуманитарно-экономический университет,http://mgei.ru
57,"АНО ВО Университет ""МИР""",Самарская область,"Автономная некоммерческая организация высшего образования Самарский университет государственного управления ""Международный институт рынка""",https://www.imi-samara.ru/
58,АОУ ВО ЛО «ГИЭФПТ»,Ленинградская область,"Автономное образовательное учреждение высшего образования Ленинградской области «Государственный институт экономики, финансов, права и технологий»",http://gief.ru/
59,"МФЮА, Московский финансово-юридический университет МФЮА",г. Москва,Аккредитованное образовательное частное учреждение высшего образования «Московский финансово-юридический университет МФЮА»,https://www.mfua.ru/
60,АЧОУ ВО «ИУБиП» (г. Пятигорск),Ставропольский край,"Аккредитованное частное образовательное учреждение высшего образования «Институт Управления, Бизнеса и Права» (г. Пятигорск)",http://www.piubp.ru/
61,БОУ ВО «ЧГИКИ» Минкультуры Чувашии,Чувашская Республика - Чувашия,"Бюджетное образовательное учреждение высшего образования Чувашской Республики  «Чувашский государственный институт культуры и искусств» Министерства культуры, по делам национальностей и архивного дела Чувашской Республики",http://chgiki.ru/abitur/
62,ВИВТ - АНОО ВО,Воронежская область,Воронежский институт высоких технологий - автономная некоммерческая образовательная организация высшего образования,https://vivt.ru/
63,ГОО ВПО ДОННМУ ИМ. М. ГОРЬКОГО,"образовательные учреждения, находящиеся за пределами Российской Федерации","ГОСУДАРСТВЕННАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ДОНЕЦКИЙ НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ ИМЕНИ М. ГОРЬКОГО""",https://dnmu.ru/
64,"ГОВПО ""ДОНЕЦКИЙ НАЦИОНАЛЬНЫЙ УНИВЕРСИТЕТ ЭКОНОМИКИ И ТОРГОВЛИ ИМЕНИ МИХАИЛА ТУГАН-БАРАНОВСКОГО""","образовательные учреждения, находящиеся за пределами Российской Федерации","ГОСУДАРСТВЕННАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ДОНЕЦКИЙ НАЦИОНАЛЬНЫЙ УНИВЕРСИТЕТ ЭКОНОМИКИ И ТОРГОВЛИ ИМЕНИ МИХАИЛА ТУГАН-БАРАНОВСКОГО""",https://donnuet.education/
65,ВОЛГОГРАДСКАЯ ГОСУДАРСТВЕННАЯ КОНСЕРВАТОРИЯ ИМ. П.А. СЕРЕБРЯКОВА,Волгоградская область,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «ВОЛГОГРАДСКАЯ ГОСУДАРСТВЕННАЯ КОНСЕРВАТОРИЯ ИМЕНИ П.А. СЕРЕБРЯКОВА»,http://new.serebryakovka.ru/
66,"ГОУ ВПО ЛНР ""ЛГУ им. В. ДАЛЯ""","образовательные учреждения, находящиеся за пределами Российской Федерации","ГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ЛУГАНСКОЙ НАРОДНОЙ РЕСПУБЛИКИ ""ЛУГАНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ ВЛАДИМИРА ДАЛЯ""",http://daluniver.ru/
67,ГОУ ВО ЛНР «ЛГПУ»,"образовательные учреждения, находящиеся за пределами Российской Федерации",ГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ЛУГАНСКОЙ НАРОДНОЙ РЕСПУБЛИКИ «ЛУГАНСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ»,https://lgpu.org/
68,ГОУВПО ДОННТУ,"образовательные учреждения, находящиеся за пределами Российской Федерации",ГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ «ДОНЕЦКИЙ НАЦИОНАЛЬНЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ»,https://donntu.ru/
69,ГОУ ВПО ДОННУ,"образовательные учреждения, находящиеся за пределами Российской Федерации",ГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ «ДОНЕЦКИЙ НАЦИОНАЛЬНЫЙ УНИВЕРСИТЕТ»,http://donnu.ru/
70,"ГУ ЛНР ""ЛАВД ИМ. Э.А. ДИДОРЕНКО""",Луганская Народная Республика,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ЛУГАНСКОЙ НАРОДНОЙ РЕСПУБЛИКИ ""ЛУГАНСКАЯ АКАДЕМИЯ ВНУТРЕННИХ ДЕЛ ИМЕНИ Э.А.ДИДОРЕНКО""",https://lavd.su/
71,ГУ ЛНР «ЛГМУ ИМ. СВЯТИТЕЛЯ ЛУКИ»,"образовательные учреждения, находящиеся за пределами Российской Федерации",ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ЛУГАНСКОЙ НАРОДНОЙ РЕСПУБЛИКИ «ЛУГАНСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ ИМЕНИ СВЯТИТЕЛЯ ЛУКИ»,http://www.lgmu.ru/
72,"МГУУ Правительства Москвы, Университет Правительства Москвы",г. Москва,Государственное автономное образовательное учреждение высшего образования «Московский городской университет управления Правительства Москвы имени Ю.М. Лужкова»,https://mguu.ru/
73,ГАОУ ВО ЛО «ЛГУ им. А.С. Пушкина»,г. Санкт-Петербург,Государственное автономное образовательное учреждение высшего образования Ленинградской области «Ленинградский государственный университет имени А.С. Пушкина»,http://lengu.ru/
74,ГАОУ ВО МГПУ,г. Москва,Государственное автономное образовательное учреждение высшего образования города Москвы «Московский городской педагогический университет»,https://www.mgpu.ru/
75,ГАОУ ВО МГУСиТ,г. Москва,Государственное автономное образовательное учреждение высшего образования города Москвы «Московский государственный университет спорта и туризма»,https://mgusit.mossport.ru/
76,"ГБОУ ВО «БАГСУ», ГБОУ ВО «Башкирская академия государственной службы и управления при Главе Республики Башкортостан»",Республика Башкортостан,Государственное бюджетное образовательное учреждение высшего образования «Башкирская академия государственной службы и управления при Главе Республики Башкортостан»,https://bagsurb.ru/
77,Белгородский государственный институт искусств и культуры (БГИИК),Белгородская область,Государственное бюджетное образовательное учреждение высшего образования «Белгородский государственный институт искусств и культуры»,https://bgiik.ru/
78,ГБОУ ВО ВШМ РС (Я) (институт) им. В.А. Босикова,Республика Саха (Якутия),Государственное бюджетное образовательное учреждение высшего образования «Высшая школа музыки Республики Саха (Якутия)  (институт) имени В.А. Босикова»,https://vschoolmus.ru/
79,"ГБОУ ВО НГИЭУ,  Княгининский университет",Нижегородская область,Государственное бюджетное образовательное учреждение высшего образования «Нижегородский государственный инженерно-экономический университет»,https://ngieu.ru/
80,ГБОУВО РК КИПУ имени Февзи Якубова,,Государственное бюджетное образовательное учреждение высшего образования Республики Крым «Крымский инженерно - педагогический университет имени Февзи Якубова»,http://kipu-rc.ru/
81,"Крымский университет культуры, искусств и туризма",,"Государственное бюджетное образовательное учреждение высшего образования Республики Крым «Крымский университет культуры, искусств и туризма»",https://kukiit.ru/
82,Московский государственный институт музыки имени А.Г. Шнитке,г. Москва,Государственное бюджетное образовательное учреждение высшего образования города Москвы «Московский государственный институт музыки имени А.Г. Шнитке»,https://www.schnittke-mgim.ru/
83,ГБПОУ г. Москвы «Московская театральная школа Олега Табакова»,г. Москва,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московская театральная школа Олега Табакова при Государственном бюджетном учреждении культуры города Москвы «Московский театр Олега Табакова»,https://www.tabakovschool.ru/
84,Академия госслужбы,Курская область,Государственное образовательное автономное учреждение высшего образования Курской области «Курская академия государственной и муниципальной службы»,https://kagms.ru/
85,,"образовательные учреждения, находящиеся за пределами Российской Федерации",Государственное образовательное учреждение «Приднестровский государственный университет им. Т.Г. Шевченко»,http://spsu.ru/
86,КРСУ,"образовательные учреждения, находящиеся за пределами Российской Федерации",Государственное образовательное учреждение высшего профессионального образования Кыргызско-Российский Славянский университет имени первого Президента Российской Федерации Б.Н. Ельцина,https://www.krsu.edu.kg/
87,"Российско-Армянский (Славянский) университет, РАУ","образовательные учреждения, находящиеся за пределами Российской Федерации",Государственное образовательное учреждение высшего профессионального образования Российско-Армянский (Славянский) университет,https://rau.am/
88,МБОУ ВО ЕАСИ,Свердловская область,Муниципальное бюджетное образовательное учреждение высшего образования «Екатеринбургская академия современного искусства» (институт),https://еаси.екатеринбург.рф/
89,,Республика Татарстан (Татарстан),Мусульманская религиозная организация духовная образовательная организация высшего образования  «Болгарская исламская академия»,https://bolgar.academy/
90,НАН ЧОУ ВО Академия ИМСИТ,Краснодарский край,Негосударственное аккредитованное некоммерческое частное образовательное учреждение высшего образования «Академия маркетинга и социально-информационных технологий - ИМСИТ» (г. Краснодар),https://imsit.ru/
91,НОУ ВО «Институт театрального искусства им. П.М. Ершова»,г. Москва,Негосударственное образовательное учреждение высшего образования «Институт театрального искусства им. П.М. Ершова»,https://artershov.ru/
92,"НОУ ВО «Институт экономики и правоведения (г. Назрань)», ИЭиП",Республика Ингушетия,Негосударственное образовательное учреждение высшего образования «Институт экономики и правоведения (г. Назрань)»,http://institut-nazran.ru/
93,НОУ ВО «Московский институт юриспруденции»,г. Москва,Негосударственное образовательное учреждение высшего образования «Московский институт юриспруденции»,https://miyu.ru/
94,НОУ ВО «МСПИ»,г. Москва,Негосударственное образовательное учреждение высшего образования «Московский социально-педагогический институт»,https://mspi.edu.ru/
95,"НОУ ВО РЭШ, Российская экономическая школа, РЭШ",г. Москва,Негосударственное образовательное учреждение высшего образования «Российская экономическая школа» (институт),https://www.nes.ru/
96,Санкт-Петербургский Гуманитарный университет профсоюзов; СПбГУП,г. Санкт-Петербург,Негосударственное образовательное учреждение высшего профессионального образования «Санкт-Петербургский Гуманитарный университет профсоюзов»,https://www.gup.ru/
97,НОЧУ ВО «МУППИ»,г. Москва,"Негосударственное образовательное частное учреждение высшего образования ""Международный университет психолого-педагогических инноваций""",https://www.muppi.ru/
98,"НОЧУ ВО ""МИИУЭП""",г. Москва,"Негосударственное образовательное частное учреждение высшего образования «Международный институт информатики, управления, экономики и права в г. Москве»",https://miiimel.ru/
99,НОЧУ ВО «Московский институт психоанализа»,г. Москва,Негосударственное образовательное частное учреждение высшего образования «Московский институт психоанализа»,https://inpsycho.ru/
100,Университет «Синергия»,г. Москва,Негосударственное образовательное частное учреждение высшего образования «Московский финансово-промышленный университет «Синергия»,https://synergy.ru/
101,НОЧУ ВО «МЭИ»,г. Москва,Негосударственное образовательное частное учреждение высшего образования «Московский экономический институт»,https://noumei.ru/
102,НЧНОУ ВО «АГСИ»,Краснодарский край,Негосударственное частное некоммерческое образовательное учреждение высшего образования «Армавирский гуманитарно-социальный институт»,https://agsi.ru/
103,НЧОУ ВО АЛСИ,Краснодарский край,Негосударственное частное образовательное учреждение высшего образования «Армавирский лингвистический социальный институт»,http://alsivuz.ru/
105,НЧОУ ВО «ТУ УГМК»,Свердловская область,Негосударственное частное образовательное учреждение высшего образования «Технический университет УГМК»,https://tu-ugmk.com/
106,Миссионерский институт,Свердловская область,Негосударственное частное учреждение - образовательная организация высшего образования «Миссионерский институт»,https://uralsky-missioner.ru/
107,ОАНО ВО «ВУиТ»,Самарская область,Образовательная автономная некоммерческая организация высшего образования «Волжский университет имени В.Н. Татищева» (институт),http://vuit.ru/
108,"ОАНО ВО «ДГИ», ОАНО ВО «Дагестанский гуманитарный институт»",Республика Дагестан,Образовательная автономная некоммерческая организация высшего образования «Дагестанский гуманитарный институт»,https://daggum.ru/
109,ОАНО «МВШСЭН»,г. Москва,Образовательная автономная некоммерческая организация высшего образования «Московская высшая школа социальных и экономических наук»,https://www.msses.ru/
110,ОАНО ВО «МПСУ»,г. Москва,Образовательная автономная некоммерческая организация высшего образования «Московский психолого-социальный университет»,https://www.mpsu.ru/
111,ОАНО ВО «МосТех»,г. Москва,Образовательная автономная некоммерческая организация высшего образования «Московский технологический институт»,https://mti.edu.ru/
112,Академия МУБиНТ,Ярославская область,Образовательная организация высшего образования  (частное учреждение) «Международная академия бизнеса и новых технологий (МУБиНТ)»,https://mubint.ru/
113,ОУ ВО «ЮУТУ»,Челябинская область,Образовательное учреждение высшего образования «Южно-Уральский технологический университет»,https://www.inueco.ru/
114,"Академия труда и социальных отношений, ОУП ВО «АТиСО»",г. Москва,Образовательное учреждение профсоюзов высшего образования «Академия труда и социальных отношений»,http://atiso.ru/
115,«Гуманитарно-социальный институт»,Московская область,Образовательное частное учреждение высшего образования «Гуманитарно-социальный институт»,https://vuz-gsi.ru/
116,ОЧУ ВО «Еврейский Университет»,г. Москва,Образовательное частное учреждение высшего образования «Еврейский Университет»,https://j-univer.ru/
117,ОЧУВО «Международный инновационный университет»,Краснодарский край,Образовательное частное учреждение высшего образования «Международный инновационный университет»,https://www.miu-sochi.ru/
118,"""Международный юридический институт""",г. Москва,Образовательное частное учреждение высшего образования «Международный юридический институт»,https://lawacademy.ru/
119,ОЧУ ВО «ММА»,г. Москва,Образовательное частное учреждение высшего образования «Московская международная академия»,https://mmamos.ru/
120,ОЧУВО «Московский инновационный университет»,г. Москва,Образовательное частное учреждение высшего образования «Московский инновационный университет»,https://www.miu-edu.ru/
121,ОЧУ ПСТГУ,г. Москва,Образовательное частное учреждение высшего образования «Православный Свято-Тихоновский гуманитарный университет»,https://pstgu.ru/
122,РМАТ,Московская область,Образовательное частное учреждение высшего образования «Российская международная академия туризма»,http://www.rmat.ru/
123,,Тульская область,Религиозная духовная образовательная  организация высшего образования  «Заокский университет Церкви Христиан-Адвентистов Седьмого Дня»,https://zda.zau.ru/
124,,Алтайский край,"Религиозная организация - духовная образовательная организация высшего образования ""Барнаульская духовная семинария Барнаульской Епархии Русской Православной Церкви""",https://altay-seminary.ru/
125,,Воронежская область,"Религиозная организация - духовная образовательная организация высшего образования ""Воронежская духовная семинария Воронежской Епархии Русской Православной Церкви""",https://vpds.ru/
126,Казанская духовная семинария,Республика Татарстан (Татарстан),"Религиозная организация - духовная образовательная организация высшего образования ""Казанская православная духовная семинария Казанской епархии Русской Православной Церкви""",https://kazpds.ru/
