ShortName,RegionName,FullName,WebSite
АНО ВО «Национальный институт бизнеса»,г. Москва,Автономная некоммерческая организация высшего образования «Национальный институт бизнеса»,https://nibmoscow.ru/
АНОВО «НОИ СПб»,г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «Национальный открытый институт г.Санкт-Петербург»,https://noironline.ru/
Поволжская академия Святителя Алексия,Самарская область,"Автономная некоммерческая организация высшего образования «Поволжская академия образования и искусств имени Святителя Алексия, митрополита Московского»",http://pravinst.ru/
"АНО ВО «Российский новый университет», АНО ВО ""РОСНОУ""",г. Москва,Автономная некоммерческая организация высшего образования «Российский новый университет»,http://rosnou.ru/
АНО ВО «РПУ св. Иоанна Богослова»,г. Москва,Автономная некоммерческая организация высшего образования «Российский православный университет святого Иоанна Богослова»,http://rpusib.ru/
"АНО ВО «РХГА», РХГА , Академия Достоевского",г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «Русская христианская гуманитарная академия им Ф.М. Достоевского»,https://rhga.ru/
АНО ВО «СЮА»,г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «Санкт-Петербургская юридическая академия»,https://jurac.ru
СКСИ,Ставропольский край,Автономная некоммерческая организация высшего образования «Северо-Кавказский социальный институт»,https://sksi.ru/
АНО ВО СИБУП,Красноярский край,"Автономная некоммерческая организация высшего образования «Сибирский институт бизнеса, управления и психологии»",http://www.sibup.ru/
"АНОВО Славяно-Греко-Латинская Академия, Славяно-Греко-Латинская Академия, АНОВО СГЛА, СГЛА",г. Москва,Автономная некоммерческая организация высшего образования «Славяно-Греко-Латинская Академия»,https://sgla.ru/
Современный технический университет,Рязанская область,Автономная некоммерческая организация высшего образования «Современный технический университет»,http://www.stirzn.ru/
АНО ВО «Университет Иннополис»,Республика Татарстан (Татарстан),Автономная некоммерческая организация высшего образования «Университет Иннополис»,https://innopolis.university/
"АНО ВО ""Университет мировых цивилизаций им. В.В. Жириновского"", АНО ВО ""УМЦ им. В.В. Жириновского"", АНО ВО ""УМЦ"", УМЦ",г. Москва,Автономная некоммерческая организация высшего образования «Университет мировых цивилизаций имени В.В. Жириновского»,http://imc-i.ru/
АНО ВО «Университет при МПА ЕврАзЭС»,г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «Университет при Межпарламентской Ассамблее ЕврАзЭС»,https://www.miep.edu.ru/
АНО ВО УрУ-УИЭУиП,Свердловская область,"Автономная некоммерческая организация высшего образования «Уральский университет-Уральский институт экономики, управления и права»",https://www.urep.ru/
"АНО ВО ""ВХУТЕИН""",г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «ХУДОЖЕСТВЕННО-ТЕХНИЧЕСКИЙ ИНСТИТУТ»,https://www.vhutein.ru/
АНО ВО Институт современного образования и информационных технологий,г. Москва,Автономная некоммерческая организация высшего образования Институт современного образования и информационных технологий,https://imeit.ru/
АНО ВО МГЭУ,г. Москва,Автономная некоммерческая организация высшего образования Московский гуманитарно-экономический университет,http://mgei.ru
"АНО ВО Университет ""МИР""",Самарская область,"Автономная некоммерческая организация высшего образования Самарский университет государственного управления ""Международный институт рынка""",https://www.imi-samara.ru/
АОУ ВО ЛО «ГИЭФПТ»,Ленинградская область,"Автономное образовательное учреждение высшего образования Ленинградской области «Государственный институт экономики, финансов, права и технологий»",http://gief.ru/
"МФЮА, Московский финансово-юридический университет МФЮА",г. Москва,Аккредитованное образовательное частное учреждение высшего образования «Московский финансово-юридический университет МФЮА»,https://www.mfua.ru/
АЧОУ ВО «ИУБиП» (г. Пятигорск),Ставропольский край,"Аккредитованное частное образовательное учреждение высшего образования «Институт Управления, Бизнеса и Права» (г. Пятигорск)",http://www.piubp.ru/
БОУ ВО «ЧГИКИ» Минкультуры Чувашии,Чувашская Республика - Чувашия,"Бюджетное образовательное учреждение высшего образования Чувашской Республики  «Чувашский государственный институт культуры и искусств» Министерства культуры, по делам национальностей и архивного дела Чувашской Республики",http://chgiki.ru/abitur/
ВИВТ - АНОО ВО,Воронежская область,Воронежский институт высоких технологий - автономная некоммерческая образовательная организация высшего образования,https://vivt.ru/
ГОО ВПО ДОННМУ ИМ. М. ГОРЬКОГО,"образовательные учреждения, находящиеся за пределами Российской Федерации","ГОСУДАРСТВЕННАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ДОНЕЦКИЙ НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ ИМЕНИ М. ГОРЬКОГО""",https://dnmu.ru/
"ГОВПО ""ДОНЕЦКИЙ НАЦИОНАЛЬНЫЙ УНИВЕРСИТЕТ ЭКОНОМИКИ И ТОРГОВЛИ ИМЕНИ МИХАИЛА ТУГАН-БАРАНОВСКОГО""","образовательные учреждения, находящиеся за пределами Российской Федерации","ГОСУДАРСТВЕННАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ДОНЕЦКИЙ НАЦИОНАЛЬНЫЙ УНИВЕРСИТЕТ ЭКОНОМИКИ И ТОРГОВЛИ ИМЕНИ МИХАИЛА ТУГАН-БАРАНОВСКОГО""",https://donnuet.education/
ВОЛГОГРАДСКАЯ ГОСУДАРСТВЕННАЯ КОНСЕРВАТОРИЯ ИМ. П.А. СЕРЕБРЯКОВА,Волгоградская область,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «ВОЛГОГРАДСКАЯ ГОСУДАРСТВЕННАЯ КОНСЕРВАТОРИЯ ИМЕНИ П.А. СЕРЕБРЯКОВА»,http://new.serebryakovka.ru/
"ГОУ ВПО ЛНР ""ЛГУ им. В. ДАЛЯ""","образовательные учреждения, находящиеся за пределами Российской Федерации","ГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ЛУГАНСКОЙ НАРОДНОЙ РЕСПУБЛИКИ ""ЛУГАНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ ВЛАДИМИРА ДАЛЯ""",http://daluniver.ru/
ГОУ ВО ЛНР «ЛГПУ»,"образовательные учреждения, находящиеся за пределами Российской Федерации",ГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ЛУГАНСКОЙ НАРОДНОЙ РЕСПУБЛИКИ «ЛУГАНСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ»,https://lgpu.org/
ГОУВПО ДОННТУ,"образовательные учреждения, находящиеся за пределами Российской Федерации",ГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ «ДОНЕЦКИЙ НАЦИОНАЛЬНЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ»,https://donntu.ru/
ГОУ ВПО ДОННУ,"образовательные учреждения, находящиеся за пределами Российской Федерации",ГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ «ДОНЕЦКИЙ НАЦИОНАЛЬНЫЙ УНИВЕРСИТЕТ»,http://donnu.ru/
"ГУ ЛНР ""ЛАВД ИМ. Э.А. ДИДОРЕНКО""",Луганская Народная Республика,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ЛУГАНСКОЙ НАРОДНОЙ РЕСПУБЛИКИ ""ЛУГАНСКАЯ АКАДЕМИЯ ВНУТРЕННИХ ДЕЛ ИМЕНИ Э.А.ДИДОРЕНКО""",https://lavd.su/
ГУ ЛНР «ЛГМУ ИМ. СВЯТИТЕЛЯ ЛУКИ»,"образовательные учреждения, находящиеся за пределами Российской Федерации",ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ЛУГАНСКОЙ НАРОДНОЙ РЕСПУБЛИКИ «ЛУГАНСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ ИМЕНИ СВЯТИТЕЛЯ ЛУКИ»,http://www.lgmu.ru/
"МГУУ Правительства Москвы, Университет Правительства Москвы",г. Москва,Государственное автономное образовательное учреждение высшего образования «Московский городской университет управления Правительства Москвы имени Ю.М. Лужкова»,https://mguu.ru/
ГАОУ ВО ЛО «ЛГУ им. А.С. Пушкина»,г. Санкт-Петербург,Государственное автономное образовательное учреждение высшего образования Ленинградской области «Ленинградский государственный университет имени А.С. Пушкина»,http://lengu.ru/
ГАОУ ВО МГПУ,г. Москва,Государственное автономное образовательное учреждение высшего образования города Москвы «Московский городской педагогический университет»,https://www.mgpu.ru/
ГАОУ ВО МГУСиТ,г. Москва,Государственное автономное образовательное учреждение высшего образования города Москвы «Московский государственный университет спорта и туризма»,https://mgusit.mossport.ru/
"ГБОУ ВО «БАГСУ», ГБОУ ВО «Башкирская академия государственной службы и управления при Главе Республики Башкортостан»",Республика Башкортостан,Государственное бюджетное образовательное учреждение высшего образования «Башкирская академия государственной службы и управления при Главе Республики Башкортостан»,https://bagsurb.ru/
Белгородский государственный институт искусств и культуры (БГИИК),Белгородская область,Государственное бюджетное образовательное учреждение высшего образования «Белгородский государственный институт искусств и культуры»,https://bgiik.ru/
ГБОУ ВО ВШМ РС (Я) (институт) им. В.А. Босикова,Республика Саха (Якутия),Государственное бюджетное образовательное учреждение высшего образования «Высшая школа музыки Республики Саха (Якутия)  (институт) имени В.А. Босикова»,https://vschoolmus.ru/
"ГБОУ ВО НГИЭУ,  Княгининский университет",Нижегородская область,Государственное бюджетное образовательное учреждение высшего образования «Нижегородский государственный инженерно-экономический университет»,https://ngieu.ru/
ГБОУВО РК КИПУ имени Февзи Якубова,,Государственное бюджетное образовательное учреждение высшего образования Республики Крым «Крымский инженерно - педагогический университет имени Февзи Якубова»,http://kipu-rc.ru/
"Крымский университет культуры, искусств и туризма",,"Государственное бюджетное образовательное учреждение высшего образования Республики Крым «Крымский университет культуры, искусств и туризма»",https://kukiit.ru/
Московский государственный институт музыки имени А.Г. Шнитке,г. Москва,Государственное бюджетное образовательное учреждение высшего образования города Москвы «Московский государственный институт музыки имени А.Г. Шнитке»,https://www.schnittke-mgim.ru/
ГБПОУ г. Москвы «Московская театральная школа Олега Табакова»,г. Москва,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московская театральная школа Олега Табакова при Государственном бюджетном учреждении культуры города Москвы «Московский театр Олега Табакова»,https://www.tabakovschool.ru/
Академия госслужбы,Курская область,Государственное образовательное автономное учреждение высшего образования Курской области «Курская академия государственной и муниципальной службы»,https://kagms.ru/
,"образовательные учреждения, находящиеся за пределами Российской Федерации",Государственное образовательное учреждение «Приднестровский государственный университет им. Т.Г. Шевченко»,
КРСУ,"образовательные учреждения, находящиеся за пределами Российской Федерации",Государственное образовательное учреждение высшего профессионального образования Кыргызско-Российский Славянский университет имени первого Президента Российской Федерации Б.Н. Ельцина,https://www.krsu.edu.kg/
"Российско-Армянский (Славянский) университет, РАУ","образовательные учреждения, находящиеся за пределами Российской Федерации",Государственное образовательное учреждение высшего профессионального образования Российско-Армянский (Славянский) университет,https://rau.am/
МБОУ ВО ЕАСИ,Свердловская область,Муниципальное бюджетное образовательное учреждение высшего образования «Екатеринбургская академия современного искусства» (институт),https://еаси.екатеринбург.рф/
,Республика Татарстан (Татарстан),Мусульманская религиозная организация духовная образовательная организация высшего образования  «Болгарская исламская академия»,https://bolgar.academy/
НАН ЧОУ ВО Академия ИМСИТ,Краснодарский край,Негосударственное аккредитованное некоммерческое частное образовательное учреждение высшего образования «Академия маркетинга и социально-информационных технологий - ИМСИТ» (г. Краснодар),https://imsit.ru/
НОУ ВО «Институт театрального искусства им. П.М. Ершова»,г. Москва,Негосударственное образовательное учреждение высшего образования «Институт театрального искусства им. П.М. Ершова»,https://artershov.ru/
"НОУ ВО «Институт экономики и правоведения (г. Назрань)», ИЭиП",Республика Ингушетия,Негосударственное образовательное учреждение высшего образования «Институт экономики и правоведения (г. Назрань)»,http://institut-nazran.ru/
НОУ ВО «Московский институт юриспруденции»,г. Москва,Негосударственное образовательное учреждение высшего образования «Московский институт юриспруденции»,https://miyu.ru/
НОУ ВО «МСПИ»,г. Москва,Негосударственное образовательное учреждение высшего образования «Московский социально-педагогический институт»,https://mspi.edu.ru/
"НОУ ВО РЭШ, Российская экономическая школа, РЭШ",г. Москва,Негосударственное образовательное учреждение высшего образования «Российская экономическая школа» (институт),https://www.nes.ru/
Санкт-Петербургский Гуманитарный университет профсоюзов; СПбГУП,г. Санкт-Петербург,Негосударственное образовательное учреждение высшего профессионального образования «Санкт-Петербургский Гуманитарный университет профсоюзов»,https://www.gup.ru/
НОЧУ ВО «МУППИ»,г. Москва,"Негосударственное образовательное частное учреждение высшего образования ""Международный университет психолого-педагогических инноваций""",https://www.muppi.ru/
"НОЧУ ВО ""МИИУЭП""",г. Москва,"Негосударственное образовательное частное учреждение высшего образования «Международный институт информатики, управления, экономики и права в г. Москве»",https://miiimel.ru/
НОЧУ ВО «Московский институт психоанализа»,г. Москва,Негосударственное образовательное частное учреждение высшего образования «Московский институт психоанализа»,https://inpsycho.ru/
Университет «Синергия»,г. Москва,Негосударственное образовательное частное учреждение высшего образования «Московский финансово-промышленный университет «Синергия»,https://synergy.ru/
НОЧУ ВО «МЭИ»,г. Москва,Негосударственное образовательное частное учреждение высшего образования «Московский экономический институт»,https://noumei.ru/
НЧНОУ ВО «АГСИ»,Краснодарский край,Негосударственное частное некоммерческое образовательное учреждение высшего образования «Армавирский гуманитарно-социальный институт»,https://agsi.ru/
НЧОУ ВО АЛСИ,Краснодарский край,Негосударственное частное образовательное учреждение высшего образования «Армавирский лингвистический социальный институт»,http://alsivuz.ru/
НЧОУ ВО «Северный институт предпринимательства»,Архангельская область,Негосударственное частное образовательное учреждение высшего образования «Северный институт предпринимательства»,
НЧОУ ВО «ТУ УГМК»,Свердловская область,Негосударственное частное образовательное учреждение высшего образования «Технический университет УГМК»,https://tu-ugmk.com/
Миссионерский институт,Свердловская область,Негосударственное частное учреждение - образовательная организация высшего образования «Миссионерский институт»,https://uralsky-missioner.ru/
ОАНО ВО «ВУиТ»,Самарская область,Образовательная автономная некоммерческая организация высшего образования «Волжский университет имени В.Н. Татищева» (институт),http://vuit.ru/
"ОАНО ВО «ДГИ», ОАНО ВО «Дагестанский гуманитарный институт»",Республика Дагестан,Образовательная автономная некоммерческая организация высшего образования «Дагестанский гуманитарный институт»,https://daggum.ru/
ОАНО «МВШСЭН»,г. Москва,Образовательная автономная некоммерческая организация высшего образования «Московская высшая школа социальных и экономических наук»,https://www.msses.ru/
ОАНО ВО «МПСУ»,г. Москва,Образовательная автономная некоммерческая организация высшего образования «Московский психолого-социальный университет»,https://www.mpsu.ru/
ОАНО ВО «МосТех»,г. Москва,Образовательная автономная некоммерческая организация высшего образования «Московский технологический институт»,https://mti.edu.ru/
Академия МУБиНТ,Ярославская область,Образовательная организация высшего образования  (частное учреждение) «Международная академия бизнеса и новых технологий (МУБиНТ)»,https://mubint.ru/
ОУ ВО «ЮУТУ»,Челябинская область,Образовательное учреждение высшего образования «Южно-Уральский технологический университет»,https://www.inueco.ru/
"Академия труда и социальных отношений, ОУП ВО «АТиСО»",г. Москва,Образовательное учреждение профсоюзов высшего образования «Академия труда и социальных отношений»,http://atiso.ru/
«Гуманитарно-социальный институт»,Московская область,Образовательное частное учреждение высшего образования «Гуманитарно-социальный институт»,https://vuz-gsi.ru/
ОЧУ ВО «Еврейский Университет»,г. Москва,Образовательное частное учреждение высшего образования «Еврейский Университет»,https://j-univer.ru/
ОЧУВО «Международный инновационный университет»,Краснодарский край,Образовательное частное учреждение высшего образования «Международный инновационный университет»,https://www.miu-sochi.ru/
"""Международный юридический институт""",г. Москва,Образовательное частное учреждение высшего образования «Международный юридический институт»,https://lawacademy.ru/
ОЧУ ВО «ММА»,г. Москва,Образовательное частное учреждение высшего образования «Московская международная академия»,https://mmamos.ru/
ОЧУВО «Московский инновационный университет»,г. Москва,Образовательное частное учреждение высшего образования «Московский инновационный университет»,https://www.miu-edu.ru/
ОЧУ ПСТГУ,г. Москва,Образовательное частное учреждение высшего образования «Православный Свято-Тихоновский гуманитарный университет»,https://pstgu.ru/
РМАТ,Московская область,Образовательное частное учреждение высшего образования «Российская международная академия туризма»,http://www.rmat.ru/
,Тульская область,Религиозная духовная образовательная  организация высшего образования  «Заокский университет Церкви Христиан-Адвентистов Седьмого Дня»,
,Алтайский край,"Религиозная организация - духовная образовательная организация высшего образования ""Барнаульская духовная семинария Барнаульской Епархии Русской Православной Церкви""",https://altay-seminary.ru/
,Воронежская область,"Религиозная организация - духовная образовательная организация высшего образования ""Воронежская духовная семинария Воронежской Епархии Русской Православной Церкви""",https://vpds.ru/
Казанская духовная семинария,Республика Татарстан (Татарстан),"Религиозная организация - духовная образовательная организация высшего образования ""Казанская православная духовная семинария Казанской епархии Русской Православной Церкви""",https://kazpds.ru/
